model,level,series,RMSE,MAE
ARIMA,total,TOTAL,38.07613300538759,31.045213495311096
ARIMA,department,FOOD,33.188616770715015,28.173951233871524
ARIMA,department,HOUSEHOLD,9.592706071809262,7.47976478864786
ARIMA,category,FOOD_1,23.78209420812392,20.110441694935922
ARIMA,category,FOOD_2,15.769799017311103,13.241924467430554
ARIMA,category,FOOD_3,10.562349919246508,8.758634699307635
ARIMA,category,HH_1,5.90362415755692,4.895109895345775
ARIMA,category,HH_2,4.77970370604777,3.4457146246629997
ARIMA,category,HH_3,3.2697740487334097,2.5510457292631514
ARIMA,product,FOOD_1_P1,7.055269441407229,5.89283226243385
ARIMA,product,FOOD_1_P2,9.914659659306507,8.417500010146217
ARIMA,product,FOOD_1_P3,7.4032916521900445,6.140843901967161
ARIMA,product,FOOD_1_P4,7.420687085839927,5.91056882841847
ARIMA,product,FOOD_1_P5,4.916305891414555,4.131805089752684
ARIMA,product,FOOD_2_P1,4.494517109718294,3.7148470759791175
ARIMA,product,FOOD_2_P2,3.709566760681557,2.85129868435824
ARIMA,product,FOOD_2_P3,4.519654730830396,3.6601314929135538
ARIMA,product,FOOD_2_P4,3.8271222577643007,2.8951338757924114
ARIMA,product,FOOD_2_P5,4.863864758381289,3.907384434039706
ARIMA,product,FOOD_3_P1,3.5286490832070676,2.793859668120706
ARIMA,product,FOOD_3_P2,3.337857407933359,2.8183105866878146
ARIMA,product,FOOD_3_P3,3.6906860349220914,3.168165284861555
ARIMA,product,FOOD_3_P4,4.825880852466984,4.2564393556515645
ARIMA,product,FOOD_3_P5,2.431330510600692,1.7857998653078309
ARIMA,product,HH_1_P1,2.6178018231158138,2.181748228828087
ARIMA,product,HH_1_P2,3.192722443170397,2.5545056452950767
ARIMA,product,HH_1_P3,2.2258490710627123,1.8350799531809372
ARIMA,product,HH_1_P4,1.9336835828341468,1.519258027857342
ARIMA,product,HH_1_P5,2.4924534381515366,1.9798286757120198
ARIMA,product,HH_2_P1,2.218520764312731,1.760811060216994
ARIMA,product,HH_2_P2,2.295560226772618,1.6604619422559195
ARIMA,product,HH_2_P3,2.347777100851064,1.5390847189847372
ARIMA,product,HH_2_P4,1.939150872965792,1.653501377557593
