model,level,RMSE,MAE
ARIMA,category,32.8,29.56
ARIMA,department,64.08,56.3
ARIMA,product,11.57,9.44
ARIMA,total,129.98,115.43
LGBM,category,31.47,25.79
LGBM,department,55.78,46.58
LGBM,product,11.84,9.01
LGBM,total,92.47,80.4
LSTM,category,45.24,39.47
LSTM,department,67.52,54.37
LSTM,product,12.96,10.77
LSTM,total,100.39,85.78
OLS-ARIMA,product_reconciled,11.17,9.28
OLS-LSTM,product_reconciled,13.42,11.22
OLS-Prophet,product_reconciled,10.62,7.87
Prophet,category,24.92,20.67
Prophet,department,51.06,42.95
Prophet,product,10.66,7.96
Prophet,total,83.43,67.71
TopDown-ARIMA,product_reconciled,16.92,13.9
TopDown-LSTM,product_reconciled,16.7,13.5
TopDown-Prophet,product_reconciled,16.44,13.27
WLS-ARIMA,product_reconciled,11.09,9.24
WLS-LSTM,product_reconciled,13.06,10.97
WLS-Prophet,product_reconciled,10.56,7.83
XGBoost,category,32.72,27.23
XGBoost,department,63.03,53.06
XGBoost,product,12.09,9.05
XGBoost,total,101.03,83.16
