category,price_change_pct,beta_posterior_mean,demand_change_pct,revenue_change_pct,optimal_direction
15,-10.0,-3.42,43.38,29.04,True
15,10.0,-3.42,-27.82,-20.6,False
16,-10.0,-11.66,241.61,207.45,True
16,10.0,-11.66,-67.09,-63.8,False
17,-10.0,-2.36,28.23,15.41,True
17,10.0,-2.36,-20.14,-12.16,False
20,-10.0,-0.89,9.83,-1.15,False
20,10.0,-0.89,-8.13,1.05,True
21,-10.0,-1.796,20.83,8.75,True
21,10.0,-1.796,-15.73,-7.31,False
22,-10.0,-1.956,22.89,10.6,True
22,10.0,-1.956,-17.01,-8.71,False
23,-10.0,2.36,-22.01,-29.81,False
23,10.0,2.36,25.22,37.75,True
47,-10.0,-3.45,43.83,29.45,True
47,10.0,-3.45,-28.02,-20.83,False
71,-10.0,-0.02,0.21,-9.81,False
71,10.0,-0.02,-0.19,9.79,True
72,-10.0,-0.36,3.87,-6.52,False
72,10.0,-0.36,-3.37,6.29,True
79,-10.0,-1.25,14.08,2.67,True
79,10.0,-1.25,-11.23,-2.35,False
84,-10.0,-1.639,18.85,6.96,True
84,10.0,-1.639,-14.46,-5.91,False
85,-10.0,-0.42,4.52,-5.93,False
85,10.0,-0.42,-3.92,5.68,True
