date,product,category,description,sales,price,promo
2009-11-30,15036,15,ASSORTED COLOURS SILK FAN,337,0.8725,0.0
2009-12-07,15036,15,ASSORTED COLOURS SILK FAN,91,1.1142857142857143,0.0
2009-12-14,15036,15,ASSORTED COLOURS SILK FAN,63,1.1555555555555557,0.0
2009-12-21,15036,15,ASSORTED COLOURS SILK FAN,103,1.17,0.0
2010-01-04,15036,15,ASSORTED COLOURS SILK FAN,192,0.65,1.0
2010-01-11,15036,15,ASSORTED COLOURS SILK FAN,30,1.2122222222222223,0.0
2010-01-18,15036,15,ASSORTED COLOURS SILK FAN,118,0.9650000000000001,0.0
2010-01-25,15036,15,ASSORTED COLOURS SILK FAN,59,0.92,0.0
2010-02-01,15036,15,ASSORTED COLOURS SILK FAN,36,0.5900000000000001,1.0
2010-02-08,15036,15,ASSORTED COLOURS SILK FAN,98,0.965,0.0
2010-02-15,15036,15,ASSORTED COLOURS SILK FAN,214,0.755,1.0
2010-02-22,15036,15,ASSORTED COLOURS SILK FAN,103,0.8557142857142858,0.0
2010-03-01,15036,15,ASSORTED COLOURS SILK FAN,194,1.052857142857143,0.0
2010-03-08,15036,15,ASSORTED COLOURS SILK FAN,104,1.015,0.0
2010-03-15,15036,15,ASSORTED COLOURS SILK FAN,711,0.8557142857142858,0.0
2010-03-22,15036,15,ASSORTED COLOURS SILK FAN,117,0.8114285714285714,0.0
2010-03-29,15036,15,ASSORTED COLOURS SILK FAN,785,0.8211111111111111,0.0
2010-04-05,15036,15,ASSORTED COLOURS SILK FAN,184,0.8575,0.0
2010-04-12,15036,15,ASSORTED COLOURS SILK FAN,96,0.75,0.0
2010-04-19,15036,15,ASSORTED COLOURS SILK FAN,195,0.8913333333333334,0.0
2010-04-26,15036,15,ASSORTED COLOURS SILK FAN,832,0.8372727272727274,0.0
2010-05-03,15036,15,ASSORTED COLOURS SILK FAN,228,0.9525,0.0
2010-05-10,15036,15,ASSORTED COLOURS SILK FAN,1179,0.8061538461538462,0.0
2010-05-17,15036,15,ASSORTED COLOURS SILK FAN,74,0.9266666666666667,0.0
2010-05-24,15036,15,ASSORTED COLOURS SILK FAN,882,0.8238461538461539,0.0
2010-05-31,15036,15,ASSORTED COLOURS SILK FAN,404,0.9053846153846153,0.0
2010-06-07,15036,15,ASSORTED COLOURS SILK FAN,1094,0.798,0.0
2010-06-14,15036,15,ASSORTED COLOURS SILK FAN,196,0.8635714285714285,0.0
2010-06-21,15036,15,ASSORTED COLOURS SILK FAN,1559,0.8245833333333333,0.0
2010-06-28,15036,15,ASSORTED COLOURS SILK FAN,1309,0.8966666666666667,0.0
2010-07-05,15036,15,ASSORTED COLOURS SILK FAN,343,0.9266666666666666,0.0
2010-07-12,15036,15,ASSORTED COLOURS SILK FAN,553,0.8783333333333334,0.0
2010-07-19,15036,15,ASSORTED COLOURS SILK FAN,1784,0.860952380952381,0.0
2010-07-26,15036,15,ASSORTED COLOURS SILK FAN,112,0.9266666666666667,0.0
2010-08-02,15036,15,ASSORTED COLOURS SILK FAN,168,1.1916666666666667,0.0
2010-08-09,15036,15,ASSORTED COLOURS SILK FAN,77,1.174,0.0
