stage,metric,category,method,estimated,true,hdi_lo,hdi_hi,notes
forecast,RMSE,category,ARIMA,32.8,,,,mean across series
forecast,RMSE,department,ARIMA,64.08,,,,mean across series
forecast,RMSE,product,ARIMA,11.57,,,,mean across series
forecast,RMSE,total,ARIMA,129.98,,,,mean across series
forecast,RMSE,category,LGBM,31.47,,,,mean across series
forecast,RMSE,department,LGBM,55.78,,,,mean across series
forecast,RMSE,product,LGBM,11.84,,,,mean across series
forecast,RMSE,total,LGBM,92.47,,,,mean across series
forecast,RMSE,category,LSTM,45.24,,,,mean across series
forecast,RMSE,department,LSTM,67.52,,,,mean across series
forecast,RMSE,product,LSTM,12.96,,,,mean across series
forecast,RMSE,total,LSTM,100.39,,,,mean across series
forecast,RMSE,product_reconciled,OLS-ARIMA,11.17,,,,mean across series
forecast,RMSE,product_reconciled,OLS-LSTM,13.42,,,,mean across series
forecast,RMSE,product_reconciled,OLS-Prophet,10.62,,,,mean across series
forecast,RMSE,category,Prophet,24.92,,,,mean across series
forecast,RMSE,department,Prophet,51.06,,,,mean across series
forecast,RMSE,product,Prophet,10.66,,,,mean across series
forecast,RMSE,total,Prophet,83.43,,,,mean across series
forecast,RMSE,product_reconciled,TopDown-ARIMA,16.92,,,,mean across series
forecast,RMSE,product_reconciled,TopDown-LSTM,16.7,,,,mean across series
forecast,RMSE,product_reconciled,TopDown-Prophet,16.44,,,,mean across series
forecast,RMSE,product_reconciled,WLS-ARIMA,11.09,,,,mean across series
forecast,RMSE,product_reconciled,WLS-LSTM,13.06,,,,mean across series
forecast,RMSE,product_reconciled,WLS-Prophet,10.56,,,,mean across series
forecast,RMSE,category,XGBoost,32.72,,,,mean across series
forecast,RMSE,department,XGBoost,63.03,,,,mean across series
forecast,RMSE,product,XGBoost,12.09,,,,mean across series
forecast,RMSE,total,XGBoost,101.03,,,,mean across series
elasticity,price_elasticity,FOOD_1,BayesianHierarchical,-1.446,-1.3,-1.5,-1.4,error=-0.146
elasticity,price_elasticity,FOOD_2,BayesianHierarchical,-1.121,-1.1,-1.2,-1.1,error=-0.021
elasticity,price_elasticity,FOOD_3,BayesianHierarchical,-0.846,-0.9,-0.89,-0.8,error=0.054
elasticity,price_elasticity,HH_1,BayesianHierarchical,-0.556,-0.6,-0.6,-0.52,error=0.044
elasticity,price_elasticity,HH_2,BayesianHierarchical,-0.632,-0.5,-0.67,-0.59,error=-0.132
elasticity,price_elasticity,HH_3,BayesianHierarchical,-0.766,-0.7,-0.8,-0.73,error=-0.066
elasticity,promo_gamma,all,BayesianHierarchical,0.166,0.18,0.16,0.17,promo lift in log units
causal,promo_lift_pct,all,DiD,51.72,19.72,48.85,54.64,n_events=200
causal,promo_lift_pct,all,AB_test,43.71,19.72,40.68,46.8,p=0.0
coldstart,RMSE,FOOD_1_P5,embedding_transfer,91.83892734453705,,,,vs naive=103.57
coldstart,RMSE,FOOD_1_P5,naive_category_avg,103.57451199708608,,,,improvement=11.3%
